Hotel Name,Hotel Address,Hotel Score,601,602,603,604,605,606,607,608,609,610,611,612,613,614,615,616,617,618,619,620,621,622,623,624,625,626,627,628,629,630,701



Hotel Petit Bali Garden Shin-Okubo (Adult Only),169-0073 도쿄 도 Shinjuku-ku Hyakunincho 1-6-7 일본,8.3,136971,202104,0,0,136971,136971,136971,136971,202104,0,136971,136971,136971,136971,136971,0,0,136971,136971,136971,0,247813,140239,0,143741,234296,234296,287352,675278,0,0



카도야 호텔(Kadoya Hotel),160-0023 도쿄 도 Shinjuku-ku Nishi-Shinjuku 1-23-1 일본,8.0,277595,0,0,0,252554,252554,0,277595,302619,0,0,277595,209793,277595,290115,290115,0,302619,290115,252554,0,0,325047,771842,244058,993883,129213,993883,431795,0,0



Lion House,160-0021 도쿄 도 歌舞伎町2-2-11 일본,7.5,178162,0,0,0,178162,0,0,0,0,0,178162,178162,0,178162,178162,178162,0,0,0,178162,84482,93868,160515,0,0,0,0,187737,0,0,0



Hotel Balian Resort Higashi Shinjuku (Adult Only),160-0021 도쿄 도 Shinjuku-ku Kabukicho 2-19-17 일본,8.1,216472,245207,269153,221261,216472,216472,216472,216472,245207,269153,221261,216472,216472,216472,216472,245207,269153,221261,216472,216472,311183,95784,241617,597693,89175,161875,993883,122029,518154,211683,281605



로열 호텔 신오쿠보,169-0073 도쿄 도 Shinjuku-ku Hyakunincho 2-17-1 일본,7.9,168963,131416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0



비즈니스 호텔 야마시로(Business Hotel Yamashiro),160-0021 도쿄 도 Shinjuku-ku Kabuki-cho 2-29-2 일본,7.7,84482,0,0,0,0,0,0,0,0,0,0,101378,101378,0,101378,0,0,0,0,84482,0,0,0,0,0,86206,0,0,0,0,0



粋,160-0022 도쿄 도 新宿7-27-4 ライオンズマンション新宿第2 206 일본,7.3,219652,219652,0,219652,219652,219652,219652,219652,219652,0,219652,219652,219652,219652,219652,219652,219652,219652,219652,219652,431795,0,0,0,93868,111046,126985,303444,114941,0,0



Hotel QUEEN ANNEX,160-0022 도쿄 도 新宿区新宿2-10-6 일본,7.8,165208,242180,242180,165208,165208,165208,165208,165208,242180,234915,165208,165208,165208,165208,165208,242180,242180,165208,165208,165208,140427,0,281605,247123,93868,113313,95784,239077,281605,247123,287352



Shinokubo guest house,169-0072 도쿄 도 大久保１−１３−14 일본,9.2,384860,384860,0,0,0,347125,347125,347125,347125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136971,0,0



TOKYO ICHIBAN SHINJUKU,169-0072 도쿄 도 大久保１−１−11コントーワル新宿511室 일본,8.9,272218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0



SHINJUKU WARM VILLA I,169-0072 도쿄 도 2-26-5 Okubo 일본,7.7,194308,261893,270341,194308,194308,194308,194308,194308,261893,254036,194308,194308,194308,194308,194308,261893,261893,194308,194308,194308,993883,965504,247123,270904,325254,90995,214556,93868,119588,281605,247123



Okubo Hotel Hawaii,169-0073 도쿄 도 1-16-6 Hyakunincho Shinjuku-ku 일본,7.8,75095,112642,122029,84482,84482,84482,84482,84482,103255,0,84482,84482,84482,84482,84482,103255,0,84482,84482,84482,289115,247813,209514,0,0,287352,234296,281605,287352,225284,363980



더 신-오쿠보 인터내셔널 호텔,169-0073 도쿄 도 Shinjuku-ku Hyakunincho 1-1-10 일본,,112642,140803,0,0,112642,112642,112642,112642,0,0,0,0,0,112642,0,140803,0,112642,0,0,0,0,0,0,0,0,0,0,0,0,0



호텔 시에나(Hotel Siena),160-0021 도쿄 도 Shinjuku-ku Kabuki-cho 2-22-1  일본,6.6,134098,143676,0,124519,0,0,0,0,143676,0,0,0,124519,124519,124519,138887,153255,124519,124519,124519,0,124519,206702,0,280321,187737,90995,423159,1014167,0,0



신주쿠 이스트 호텔 (Shinjuku East Hotel),160-0021 도쿄 도 Shinjuku-ku Kabukicho 2-6-16 일본,7.0,93868,112642,131416,93868,93868,93868,93868,93868,112642,145684,93868,93868,93868,93868,93868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153255,153255



호텔 타테시나(Hotel Tateshina),160-0022 도쿄 도 Shinjuku-ku Shinjuku 5-8-6 일본,,97112,97112,0,97112,107902,107902,107902,107902,107902,0,107902,107902,0,0,0,107902,147139,107902,107902,107902,0,110104,523560,0,280321,191568,993883,423159,129213,0,0



City Hotel Southern Cross,169-0073 도쿄 도 Shinjuku-ku Hyakunin-cho 1-11-26 일본,6.2,89175,98562,0,89175,89175,89175,89175,93868,98562,0,0,89175,93868,93868,89175,98562,0,93868,89175,89175,140793,107902,281605,0,163791,239077,281605,234296,229116,0,0



