index,Hotel Name,Date,Day,Hotel Score,Hotel Score Round,Price
260,사쿠라 호텔 하타가야(Sakura Hotel Hatagaya),2023-06-03,토,7.1,7,373698
261,The Westin Tokyo,2023-06-03,토,8.7,9,466338
262,ＨＯＴＥＬ ＧＬＡＮＺ ＣＡＳＣＡＴＡ - Vacation STAY 74636v,2023-06-03,토,10.0,10,405665
263,도큐 스테이 메구로 유텐지(Tokyu Stay Meguro Yutenji),2023-06-03,토,8.0,8,717155
264,Port House Hatsudai,2023-06-03,토,8.6,9,231797
265,MUSTARD HOTEL SHIMOKITAZAWA,2023-06-03,토,8.2,8,717155
266,니시신주쿠 그린 호텔(Nishishinjuku Green Hotel),2023-06-03,토,6.3,6,598467
267,HOTEL KABUKI,2023-06-03,토,8.9,9,598467
268,APA 호텔 & 리조트 니시신주쿠-고초메-에키 타워(APA Hotel & Resort Nishishinjuku-Gochome-Eki Tower),2023-06-03,토,8.2,8,379305
269,호텔 로즈 가든 신주쿠(Hotel Rose Garden Shinjuku),2023-06-03,토,7.9,8,371719
270,APA Hotel Roppongi SIX,2023-06-03,토,7.8,8,371719
271,APA Hotel & Resort Roppongi-Eki-Higashi,2023-06-03,토,8.3,8,378477
272,Comfort Inn Tokyo Roppongi,2023-06-03,토,8.1,8,386201
273,신주쿠 프린스 호텔(Shinjuku Prince Hotel),2023-06-03,토,7.9,8,378477
274,호텔 마이스테이 프리미어 아카사카(Hotel Mystays Premier Akasaka),2023-06-03,토,8.3,8,183043
275,Super Hotel Premier Akasaka,2023-06-03,토,8.4,8,246644
276,더 낫 도쿄 신주쿠(THE KNOT TOKYO Shinjuku),2023-06-03,토,8.4,8,197124
277,시타딘스 센트럴 신주쿠 도쿄 (Citadines Central Shinjuku Tokyo),2023-06-03,토,8.0,8,183043
278,Via Inn Prime Akasaka,2023-06-03,토,8.9,9,164749
279,HOTEL HILLARYS Akasaka,2023-06-03,토,8.3,8,241711
280,시타딘 신주쿠 도쿄(Citadines Shinjuku Tokyo),2023-06-03,토,8.6,9,201147
281,신주쿠 워싱턴 호텔(Shinjuku Washington Hotel),2023-06-03,토,7.1,7,241711
282,APA 호텔 신주쿠 교에마에 (APA Hotel Shinjuku Gyoemmae),2023-06-03,토,7.8,8,161454
283,호텔 몬토레 아카사카(Hotel Monterey Akasaka),2023-06-03,토,8.4,8,197124
284,Hotel Villa Fontaine Grand Tokyo-Roppongi,2023-06-03,토,8.0,8,161454
285,호텔 썬루트 플라자 신주쿠(Hotel Sunroute Plaza Shinjuku),2023-06-03,토,8.3,8,164749
286,센츄리온 호텔 그랜드 아카사카미츠케 스테이션(Centurion Hotel Grand Akasakamitsuke Station),2023-06-03,토,7.1,7,598467
287,OMO3 Tokyo Akasaka by Hoshino Resort,2023-06-03,토,8.1,8,598467
288,소테츠 프레사 인 도쿄 롯폰기(Sotetsu Fresa Inn Tokyo Roppongi),2023-06-03,토,8.1,8,351528
289,HOTEL SUI AKASAKA by ABEST,2023-06-03,토,7.8,8,344497
290,APA 빌라 호텔 아카사카-미츠케(APA Villa Hotel Akasaka-Mitsuke),2023-06-03,토,7.4,7,344497
291,Oakwood Hotel & Apartments Azabu Tokyo,2023-06-03,토,8.7,9,295019
292,니시테츠 인 신주쿠(Nishitetsu Inn Shinjuku),2023-06-03,토,8.3,8,295019
293,Hotel New Otani Tokyo The Main,2023-06-03,토,8.6,9,248751
294,the b sangenjaya,2023-06-03,토,7.3,7,301040
295,호텔 리스텔 신주쿠(Hotel Listel Shinjuku),2023-06-03,토,7.4,7,357779
296,Via Inn Shinjuku,2023-06-03,토,8.2,8,248751
297,Tokyu Stay Yotsuya,2023-06-03,토,7.9,8,253828
