Hotel Name,mean_price,Time_Cost_NRT,Money_Cost_NRT,Time_Walk_NRT,Time_Cost_HND,Money_Cost_HND,Time_Walk_HND
The Gate Hotel Tokyo by Hulic,316049.0,63.0,26290.0,7.0,32.0,6214.0,11.0
호텔 무스 긴자 메이테츠 (Hotel Musse Ginza Meitetsu),282007.0,70.0,26290.0,12.0,39.0,4111.0,9.0
The Royal Park Canvas Ginza Corridor,320846.0,66.0,26290.0,10.0,33.0,6214.0,14.0
파크 호텔 도쿄(Park Hotel Tokyo),386963.0,69.0,26290.0,11.0,37.0,4111.0,7.0
remm plus Ginza,399997.0,68.0,26290.0,10.0,36.0,4111.0,6.0
the b ginza,274095.0,68.0,26290.0,10.0,37.0,4111.0,7.0
Mitsui Garden Hotel Shiodome Italia-gai - Tokyo,286449.0,69.0,26290.0,8.0,36.0,4111.0,8.0
THE BLOSSOM HIBIYA,234671.0,66.0,26290.0,8.0,30.0,6214.0,11.0
Sotetsu Fresa Inn Shimbashi-Karasumoriguchi,180533.0,65.0,26290.0,7.0,37.0,4111.0,7.0
칸데오 호텔 도쿄 신바시(Candeo Hotels Tokyo Shimbashi),349680.0,65.0,26290.0,7.0,38.0,4111.0,8.0
Mitsui Garden Hotel Ginza Premier,443584.0,69.0,26290.0,11.0,37.0,4111.0,7.0
호텔 마이스테이 프리미어 하마마쓰초(Hotel Mystays Premier Hamamatsucho),260991.0,68.0,26290.0,7.0,34.0,4111.0,6.0
Bay Hotel Tokyo Hamamatsucho,226436.0,66.0,26290.0,5.0,34.0,4111.0,6.0
더 페닌슐라 도쿄(The Peninsula Tokyo),232648.0,63.0,26290.0,7.0,32.0,6214.0,11.0
호텔 마이스테이스 하마마츠초(HOTEL MYSTAYS Hamamatsucho),285677.0,68.0,26290.0,7.0,32.0,4111.0,4.0
Section L Hamamatsucho,402534.0,67.0,26290.0,6.0,33.0,4111.0,5.0
소테츠 프레사 인 긴자 - 나나초메(Sotetsu Fresa Inn Ginza-Nanachome),512794.0,69.0,26290.0,11.0,37.0,4111.0,7.0
소테츠 프레사 인 심바시 히비야구치(Sotetsu Fresa Inn Shimbashi Hibiyaguchi),312978.0,64.0,26290.0,6.0,37.0,4111.0,7.0
SOTETSU GRAND FRESA TAKADANOBABA(Sotetsu Grand Fresa Takadanobaba),275966.0,69.0,26290.0,5.0,50.0,4876.0,5.0
Henn na Hotel Tokyo Hamamatsucho,291745.0,66.0,26290.0,5.0,33.0,4111.0,5.0
ibis Styles Tokyo Ginza,370708.0,69.0,26290.0,11.0,37.0,4111.0,7.0
